"site","year","used","prev","n","type","agegr","age","agspan","urban"
"Francistown (%)",2012,TRUE,0.3435,4015,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2013,TRUE,0.3247,5152,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2014,TRUE,0.3059,5143,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2015,TRUE,0.2865,5277,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2016,TRUE,0.2758,5301,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2017,TRUE,0.2695,5402,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2018,TRUE,0.2639,5476,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2019,TRUE,0.266,5407,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2020,TRUE,0.2452,5575,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2021,TRUE,0.2428,5017,"ancrt","15-49",15,35,TRUE
"Francistown (%)",2022,TRUE,0.2286,5039,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2012,TRUE,0.2321,6587,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2013,TRUE,0.226,6181,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2014,TRUE,0.2186,8892,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2015,TRUE,0.1974,10660,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2016,TRUE,0.17,11298,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2017,TRUE,0.1844,11760,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2018,TRUE,0.1829,11534,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2019,TRUE,0.1745,11706,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2020,TRUE,0.1722,12300,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2021,TRUE,0.1627,10609,"ancrt","15-49",15,35,TRUE
"Gaborone (%)",2022,TRUE,0.15,10548,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2012,TRUE,0.2558,950,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2013,TRUE,0.2029,971,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2014,TRUE,0.2127,898,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2015,TRUE,0.2114,1050,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2016,TRUE,0.2589,950,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2017,TRUE,0.192,1099,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2018,TRUE,0.2144,1026,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2019,TRUE,0.1949,1011,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2020,TRUE,0.2106,997,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2021,TRUE,0.1628,854,"ancrt","15-49",15,35,TRUE
"Jwaneng (%)",2022,TRUE,0.1521,861,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2012,TRUE,0.2355,5398,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2013,TRUE,0.2577,6088,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2014,TRUE,0.2422,3270,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2015,TRUE,0.2404,3095,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2016,TRUE,0.219,2941,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2017,TRUE,0.2436,2980,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2018,TRUE,0.2373,3350,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2019,TRUE,0.2104,3736,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2020,TRUE,0.2143,3575,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2021,TRUE,0.206,3457,"ancrt","15-49",15,35,TRUE
"Kweneng East (%)",2022,TRUE,0.1833,3312,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2012,TRUE,0.2275,1266,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2013,TRUE,0.2477,1300,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2014,TRUE,0.2175,1163,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2015,TRUE,0.2287,1141,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2016,TRUE,0.2292,1108,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2017,TRUE,0.2155,1160,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2018,TRUE,0.223,1211,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2019,TRUE,0.175,1497,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2020,TRUE,0.2104,1131,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2021,TRUE,0.2102,1142,"ancrt","15-49",15,35,TRUE
"Lobatse (%)",2022,TRUE,0.2178,1143,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2012,TRUE,0.2772,2435,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2013,TRUE,0.301,2754,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2014,TRUE,0.3039,2070,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2015,TRUE,0.2649,2593,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2016,TRUE,0.2443,2374,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2017,TRUE,0.2753,2488,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2018,TRUE,0.2555,3163,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2019,TRUE,0.2858,3055,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2020,TRUE,0.2709,3105,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2021,TRUE,0.2359,2683,"ancrt","15-49",15,35,TRUE
"Mahalapye (%)",2022,TRUE,0.2121,2602,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2012,TRUE,0.3797,1712,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2013,TRUE,0.3389,1617,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2014,TRUE,0.3089,1599,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2015,TRUE,0.3063,1600,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2016,TRUE,0.3004,1528,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2017,TRUE,0.2757,1226,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2018,TRUE,0.2641,1227,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2019,TRUE,0.2507,1129,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2020,TRUE,0.2462,1109,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2021,TRUE,0.2516,962,"ancrt","15-49",15,35,TRUE
"Selebi-Pikwe (%)",2022,TRUE,0.1942,973,"ancrt","15-49",15,35,TRUE
"Serowe Palapye (%)",2012,TRUE,0.2021,4170,"ancrt","15-49",15,35,TRUE
"Serowe Palapye (%)",2013,TRUE,0.3008,4133,"ancrt","15-49",15,35,TRUE
"Serowe Palapye (%)",2014,TRUE,0.3039,4373,"ancrt","15-49",15,35,TRUE
"Serowe Palapye (%)",2015,TRUE,0.2757,4168,"ancrt","15-49",15,35,TRUE
"Serowe Palapye (%)",2016,TRUE,0.3056,4693,"ancrt","15-49",15,35,TRUE
"Serowe Palapye (%)",2017,TRUE,0.3024,4885,"ancrt","15-49",15,35,TRUE
